stateseq	C1Epi	C2PaE	C3VE	C4ExE
chr3:88904000-88906000	E7	E1	E4	E6
chr3:89288000-89290000	E4	E6	E7	E5
chr3:90458000-90460000	E4	E6	E5	E7
chr3:93018000-93020000	E4	E7	E1	E3
chr3:94662000-94664000	E4	E7	E5	E6
chr3:94666000-94668000	E5	E7	E4	E6
chr3:95166000-95168000	E6	E4	E5	E7
chr3:95320000-95322000	E6	E4	E5	E7
chr3:95906000-95908000	E7	E5	E4	E6
chr3:96360000-96362000	E2	E6	E4	E5
chr3:96362000-96364000	E2	E6	E4	E7
chr3:96364000-96366000	E2	E6	E4	E7
chr3:96434000-96436000	E7	E4	E5	E6
chr3:96436000-96438000	E7	E4	E5	E6
chr3:96438000-96440000	E5	E4	E7	E6
chr3:96440000-96442000	E5	E4	E7	E6
chr3:96442000-96444000	E5	E4	E7	E6
chr3:96444000-96446000	E5	E4	E7	E6
chr3:96522000-96524000	E5	E6	E4	E7
chr3:96606000-96608000	E6	E4	E5	E7
chr3:96840000-96842000	E6	E4	E7	E1
chr3:96842000-96844000	E6	E4	E7	E1
chr3:96844000-96846000	E6	E2	E7	E1
chr3:96846000-96848000	E6	E4	E7	E1
chr3:100920000-100922000	E6	E5	E4	E7
chr3:103258000-103260000	E6	E1	E4	E7
chr3:107440000-107442000	E7	E1	E4	E6
chr3:107626000-107628000	E7	E6	E5	E4
chr3:108256000-108258000	E4	E6	E5	E7
chr3:108418000-108420000	E7	E6	E5	E4
chr3:120572000-120574000	E7	E3	E4	E1
chr3:121536000-121538000	E3	E4	E7	E1
chr3:122076000-122078000	E6	E7	E5	E4
chr3:130698000-130700000	E6	E4	E5	E7
chr3:146636000-146638000	E1	E4	E7	E3
chr3:147174000-147176000	E3	E1	E7	E4
chr3:149006000-149008000	E1	E6	E4	E7
chr4:15240000-15242000	E3	E1	E7	E4
chr4:41504000-41506000	E7	E4	E5	E6
chr4:41706000-41708000	E7	E6	E5	E4
chr4:43502000-43504000	E4	E6	E5	E7
chr4:44748000-44750000	E6	E5	E4	E7
chr4:45966000-45968000	E7	E4	E6	E1
chr4:46578000-46580000	E6	E7	E5	E4
chr4:46580000-46582000	E6	E7	E5	E4
chr4:62504000-62506000	E7	E6	E5	E2
chr4:62506000-62508000	E7	E6	E5	E2
chr4:63404000-63406000	E4	E5	E7	E6
chr4:86576000-86578000	E6	E4	E5	E7
chr4:88782000-88784000	E4	E6	E5	E7
chr4:88784000-88786000	E4	E6	E5	E7
chr4:88786000-88788000	E4	E6	E5	E7
chr4:123000000-123002000	E6	E4	E5	E7
chr4:123104000-123106000	E6	E4	E5	E7
chr4:123116000-123118000	E4	E6	E5	E7
chr4:123118000-123120000	E4	E6	E5	E7
chr4:124352000-124354000	E5	E1	E4	E7
chr4:124354000-124356000	E5	E1	E4	E7
chr4:124746000-124748000	E5	E6	E4	E7
chr4:125484000-125486000	E7	E6	E5	E4
chr4:125486000-125488000	E7	E6	E5	E4
chr4:126096000-126098000	E4	E6	E5	E7
chr4:126116000-126118000	E5	E6	E7	E4
chr4:126292000-126294000	E6	E4	E5	E7
chr4:127330000-127332000	E4	E6	E5	E7
chr4:127362000-127364000	E4	E6	E5	E7
chr4:129116000-129118000	E6	E4	E5	E7
chr4:130204000-130206000	E7	E4	E1	E6
chr4:130206000-130208000	E7	E4	E1	E6
chr4:133018000-133020000	E6	E4	E5	E7
chr4:133020000-133022000	E6	E1	E5	E7
chr4:134496000-134498000	E6	E2	E5	E7
chr4:134530000-134532000	E4	E6	E5	E7
chr4:135378000-135380000	E6	E4	E5	E7
chr4:136140000-136142000	E7	E6	E5	E4
chr4:136202000-136204000	E6	E4	E5	E7
chr4:136204000-136206000	E6	E4	E5	E7
chr4:136206000-136208000	E6	E4	E5	E7
chr4:136208000-136210000	E6	E4	E5	E7
chr4:141114000-141116000	E7	E4	E5	E6
chr4:141250000-141252000	E1	E4	E6	E7
chr4:141794000-141796000	E4	E1	E7	E6
chr4:141796000-141798000	E4	E1	E7	E6
chr4:141918000-141920000	E6	E4	E5	E7
chr4:144890000-144892000	E3	E7	E5	E4
chr4:144892000-144894000	E3	E7	E5	E4
chr4:145576000-145578000	E1	E3	E2	E4
chr4:146514000-146516000	E6	E1	E2	E4
chr4:146516000-146518000	E7	E1	E2	E4
chr4:146518000-146520000	E7	E1	E2	E4
chr4:146526000-146528000	E6	E1	E2	E4
chr4:147194000-147196000	E3	E1	E2	E4
chr4:147248000-147250000	E7	E1	E2	E6
chr4:147250000-147252000	E7	E1	E2	E6
chr4:147252000-147254000	E7	E1	E2	E6
chr4:147254000-147256000	E7	E1	E2	E4
chr4:147256000-147258000	E7	E1	E2	E4
chr4:147258000-147260000	E7	E1	E2	E4
chr4:147260000-147262000	E7	E1	E2	E4
chr4:147436000-147438000	E6	E4	E5	E2
chr4:147506000-147508000	E4	E1	E2	E6
chr4:148166000-148168000	E7	E6	E5	E4
chr4:148592000-148594000	E6	E4	E2	E7
chr4:148594000-148596000	E6	E4	E2	E7
chr4:149786000-149788000	E6	E1	E5	E4
chr4:150138000-150140000	E5	E7	E4	E6
chr4:150140000-150142000	E4	E7	E5	E6
chr4:150142000-150144000	E4	E7	E5	E6
chr4:150184000-150186000	E7	E6	E4	E1
chr4:150186000-150188000	E7	E6	E4	E1
chr4:150784000-150786000	E6	E4	E7	E1
chr4:151910000-151912000	E4	E7	E5	E6
chr4:152172000-152174000	E6	E5	E4	E7
chr4:152358000-152360000	E4	E5	E6	E7
chr4:152364000-152366000	E4	E7	E6	E1
chr4:152366000-152368000	E4	E7	E6	E1
chr4:152368000-152370000	E4	E7	E6	E1
chr4:153224000-153226000	E1	E6	E4	E7
chr4:154876000-154878000	E6	E1	E4	E7
chr4:154878000-154880000	E6	E1	E4	E7
chr4:154880000-154882000	E6	E1	E4	E7
chr4:154882000-154884000	E6	E1	E5	E7
chr4:155286000-155288000	E7	E6	E5	E4
chr4:155288000-155290000	E7	E6	E5	E4
chr5:15008000-15010000	E6	E2	E7	E4
chr5:30654000-30656000	E7	E4	E6	E1
chr5:30662000-30664000	E7	E6	E4	E1
chr5:30664000-30666000	E7	E6	E4	E1
chr5:33660000-33662000	E7	E4	E5	E6
chr5:33662000-33664000	E7	E4	E5	E6
chr5:35382000-35384000	E1	E2	E5	E4
chr5:35384000-35386000	E6	E2	E5	E4
chr5:36810000-36812000	E6	E7	E5	E4
chr5:38554000-38556000	E6	E4	E5	E7
chr5:100908000-100910000	E6	E4	E5	E7
chr5:110566000-110568000	E6	E4	E7	E1
chr5:110776000-110778000	E6	E4	E7	E5
chr5:114270000-114272000	E7	E4	E5	E6
chr5:114272000-114274000	E7	E4	E5	E6
chr5:114882000-114884000	E6	E4	E5	E7
chr5:114884000-114886000	E6	E4	E5	E7
chr5:115242000-115244000	E7	E4	E5	E6
chr5:115432000-115434000	E7	E6	E5	E4
chr5:120510000-120512000	E4	E6	E5	E7
chr5:120632000-120634000	E7	E4	E5	E6
chr5:121854000-121856000	E6	E4	E5	E7
chr5:122264000-122266000	E6	E4	E5	E7
chr5:122642000-122644000	E6	E7	E1	E4
chr5:122644000-122646000	E6	E7	E2	E4
chr5:122646000-122648000	E6	E7	E2	E4
chr5:122648000-122650000	E6	E7	E2	E4
chr5:123506000-123508000	E7	E1	E5	E6
chr5:123508000-123510000	E7	E1	E5	E6
chr5:123794000-123796000	E7	E4	E6	E5
chr5:125512000-125514000	E7	E4	E5	E6
chr5:125586000-125588000	E1	E7	E4	E6
chr5:134974000-134976000	E7	E4	E5	E6
chr5:134976000-134978000	E7	E4	E5	E6
chr5:134978000-134980000	E7	E4	E5	E6
chr5:134980000-134982000	E7	E4	E5	E6
chr5:135038000-135040000	E7	E6	E2	E5
chr5:135624000-135626000	E6	E4	E5	E7
chr5:135626000-135628000	E6	E4	E5	E7
chr5:135628000-135630000	E6	E4	E5	E7
chr5:135778000-135780000	E4	E5	E2	E7
chr5:137148000-137150000	E6	E4	E2	E1
chr5:137150000-137152000	E6	E4	E2	E1
chr5:137654000-137656000	E7	E4	E5	E6
chr5:137686000-137688000	E7	E4	E5	E6
chr5:137688000-137690000	E7	E4	E5	E6
chr5:139768000-139770000	E4	E6	E5	E7
chr5:140424000-140426000	E5	E1	E6	E7
chr5:142046000-142048000	E6	E4	E2	E7
chr5:142048000-142050000	E6	E4	E1	E5
chr5:142050000-142052000	E6	E4	E1	E5
chr5:142052000-142054000	E4	E6	E1	E7
chr5:143192000-143194000	E7	E6	E4	E1
chr5:143194000-143196000	E7	E6	E4	E1
chr5:143378000-143380000	E6	E7	E5	E4
chr5:145574000-145576000	E1	E4	E7	E3
chr6:29438000-29440000	E5	E7	E4	E6
chr6:29440000-29442000	E5	E7	E4	E6
chr6:29458000-29460000	E7	E4	E5	E6
chr6:29476000-29478000	E5	E6	E4	E7
chr6:29478000-29480000	E5	E6	E4	E7
chr6:29480000-29482000	E5	E6	E4	E7
chr6:29494000-29496000	E7	E6	E5	E4
chr6:31550000-31552000	E4	E7	E5	E6
chr6:31552000-31554000	E4	E7	E5	E6
chr6:31556000-31558000	E4	E6	E5	E7
chr6:33034000-33036000	E4	E1	E7	E3
chr6:34710000-34712000	E6	E4	E5	E7
chr6:34716000-34718000	E4	E6	E5	E7
chr6:37390000-37392000	E3	E5	E7	E1
chr6:37394000-37396000	E3	E5	E4	E1
chr6:42318000-42320000	E7	E5	E4	E6
chr6:48600000-48602000	E6	E1	E4	E7
chr6:67532000-67534000	E3	E1	E5	E7
chr6:67534000-67536000	E3	E4	E5	E7
chr6:67536000-67538000	E3	E4	E5	E7
chr6:67538000-67540000	E3	E4	E5	E7
chr6:83452000-83454000	E4	E6	E5	E7
chr6:85142000-85144000	E7	E4	E5	E6
chr6:85340000-85342000	E6	E4	E5	E7
chr6:85342000-85344000	E6	E4	E5	E7
chr6:85344000-85346000	E6	E4	E5	E7
chr6:85346000-85348000	E6	E4	E5	E7
chr6:85348000-85350000	E6	E4	E5	E7
chr6:85350000-85352000	E6	E4	E5	E7
chr6:85442000-85444000	E7	E4	E5	E6
chr6:86636000-86638000	E4	E6	E7	E1
chr6:86638000-86640000	E4	E6	E7	E1
chr6:88200000-88202000	E5	E6	E4	E7
chr6:88202000-88204000	E5	E6	E4	E7
chr6:88206000-88208000	E5	E6	E4	E7
chr6:89080000-89082000	E4	E1	E7	E6
chr6:114382000-114384000	E4	E1	E7	E6
chr6:114526000-114528000	E4	E2	E5	E1
chr6:114972000-114974000	E6	E4	E5	E7
chr6:119474000-119476000	E5	E6	E4	E7
chr6:120818000-120820000	E1	E6	E5	E7
chr6:122872000-122874000	E6	E4	E5	E7
chr6:125082000-125084000	E7	E4	E5	E6
chr6:125496000-125498000	E7	E6	E5	E4
chr6:128296000-128298000	E4	E6	E7	E5
chr6:134040000-134042000	E7	E4	E5	E3
chr6:134042000-134044000	E7	E4	E5	E3
chr6:134044000-134046000	E7	E4	E5	E3
chr6:134046000-134048000	E7	E4	E5	E3
chr6:134208000-134210000	E7	E4	E5	E3
chr6:135242000-135244000	E4	E1	E7	E3
chr6:135244000-135246000	E4	E1	E7	E3
chr6:136466000-136468000	E7	E1	E6	E4
chr6:137470000-137472000	E3	E1	E7	E4
chr6:142396000-142398000	E6	E5	E7	E4
chr6:142568000-142570000	E5	E7	E6	E4
chr6:142662000-142664000	E3	E7	E4	E1
chr6:146688000-146690000	E7	E1	E4	E3
chr7:4470000-4472000	E7	E6	E4	E5
chr7:16110000-16112000	E7	E6	E4	E1
chr7:16728000-16730000	E7	E1	E4	E6
chr7:16730000-16732000	E7	E1	E4	E6
chr7:16732000-16734000	E7	E1	E5	E6
chr7:16840000-16842000	E6	E1	E4	E7
chr7:16842000-16844000	E7	E1	E4	E5
chr7:16894000-16896000	E6	E7	E5	E4
chr7:17062000-17064000	E7	E4	E5	E3
chr7:19012000-19014000	E7	E4	E5	E6
chr7:19098000-19100000	E7	E6	E5	E4
chr7:19100000-19102000	E7	E4	E5	E6
chr7:19168000-19170000	E6	E4	E5	E7
chr7:19170000-19172000	E6	E4	E5	E7
chr7:24924000-24926000	E4	E5	E6	E7
chr7:25276000-25278000	E7	E6	E4	E5
chr7:25278000-25280000	E7	E6	E4	E5
chr7:28538000-28540000	E6	E1	E4	E7
chr7:28540000-28542000	E6	E1	E4	E7
chr7:28750000-28752000	E7	E4	E5	E6
chr7:30464000-30466000	E7	E5	E4	E6
chr7:31050000-31052000	E7	E5	E4	E6
chr7:41146000-41148000	E1	E7	E4	E3
chr7:43172000-43174000	E2	E6	E4	E5
chr7:43174000-43176000	E2	E4	E5	E7
chr7:43182000-43184000	E1	E4	E2	E7
chr7:43466000-43468000	E6	E4	E5	E7
chr7:44330000-44332000	E5	E7	E4	E6
chr7:44336000-44338000	E4	E7	E5	E6
chr7:44434000-44436000	E7	E4	E5	E6
chr7:45022000-45024000	E6	E4	E7	E5
chr7:45354000-45356000	E6	E5	E4	E7
chr7:45358000-45360000	E6	E4	E5	E7
chr7:45574000-45576000	E4	E6	E7	E5
chr7:45786000-45788000	E6	E4	E7	E5
chr7:45788000-45790000	E6	E4	E7	E5
chr7:45858000-45860000	E7	E4	E5	E6
chr7:45872000-45874000	E7	E6	E5	E4
chr7:45874000-45876000	E7	E6	E5	E4
chr7:45900000-45902000	E6	E4	E7	E5
chr7:45920000-45922000	E6	E5	E4	E7
chr7:49162000-49164000	E7	E4	E6	E1
chr7:70350000-70352000	E4	E7	E6	E5
chr7:70352000-70354000	E4	E7	E6	E5
chr7:70354000-70356000	E4	E7	E6	E5
chr7:70356000-70358000	E4	E7	E6	E5
chr7:81860000-81862000	E7	E4	E5	E6
chr7:98818000-98820000	E6	E7	E4	E5
chr7:100498000-100500000	E6	E4	E5	E7
chr7:110410000-110412000	E1	E7	E6	E4
chr7:110624000-110626000	E5	E4	E6	E7
chr7:111618000-111620000	E1	E7	E4	E3
chr7:111620000-111622000	E1	E7	E4	E3
chr7:116032000-116034000	E5	E7	E4	E3
chr7:116034000-116036000	E5	E7	E4	E3
chr7:116036000-116038000	E5	E7	E4	E3
chr7:116038000-116040000	E5	E7	E4	E3
chr7:118478000-118480000	E3	E7	E1	E4
chr7:125552000-125554000	E7	E5	E4	E6
chr7:125554000-125556000	E7	E5	E4	E6
chr7:126812000-126814000	E6	E4	E7	E5
chr7:126942000-126944000	E7	E4	E5	E6
chr7:130246000-130248000	E1	E6	E5	E7
chr7:130248000-130250000	E1	E6	E5	E7
chr7:130250000-130252000	E1	E6	E5	E7
chr7:130252000-130254000	E1	E6	E5	E7
chr7:131366000-131368000	E5	E3	E4	E7
chr7:131978000-131980000	E6	E7	E4	E1
chr7:133046000-133048000	E4	E6	E5	E7
chr7:141750000-141752000	E4	E7	E5	E6
chr7:142090000-142092000	E7	E5	E4	E6
chr7:142662000-142664000	E4	E6	E5	E7
chr8:3510000-3512000	E7	E4	E5	E2
chr8:3512000-3514000	E7	E4	E5	E2
chr8:4218000-4220000	E7	E4	E5	E6
chr8:8494000-8496000	E3	E1	E5	E7
chr8:12404000-12406000	E7	E5	E4	E6
chr8:13658000-13660000	E7	E1	E4	E6
chr8:13684000-13686000	E1	E6	E4	E7
chr8:14888000-14890000	E6	E4	E5	E7
chr8:14890000-14892000	E6	E4	E5	E7
chr8:14892000-14894000	E6	E4	E5	E7
chr8:19906000-19908000	E6	E2	E4	E1
chr8:19910000-19912000	E6	E2	E4	E1
chr8:20372000-20374000	E6	E2	E4	E1
chr8:20374000-20376000	E6	E2	E4	E1
chr8:20384000-20386000	E6	E4	E1	E2
chr8:20418000-20420000	E2	E4	E7	E5
chr8:20420000-20422000	E2	E4	E7	E5
chr8:20422000-20424000	E2	E4	E7	E5
chr8:22056000-22058000	E6	E5	E4	E7
chr8:22058000-22060000	E6	E5	E4	E7
chr8:27034000-27036000	E7	E1	E5	E6
chr8:45010000-45012000	E7	E1	E4	E6
chr8:47782000-47784000	E7	E1	E6	E4
chr8:55358000-55360000	E6	E4	E2	E1
chr8:69896000-69898000	E6	E7	E4	E5
chr8:69922000-69924000	E6	E4	E5	E7
chr8:70082000-70084000	E7	E6	E5	E4
chr8:70502000-70504000	E4	E6	E5	E7
chr8:70684000-70686000	E7	E6	E5	E4
chr8:70686000-70688000	E7	E4	E5	E6
chr8:70812000-70814000	E6	E4	E5	E7
chr8:70814000-70816000	E6	E4	E5	E7
chr8:70816000-70818000	E6	E4	E5	E7
chr8:71570000-71572000	E6	E4	E5	E7
chr8:71604000-71606000	E6	E4	E5	E7
chr8:71638000-71640000	E6	E7	E5	E4
chr8:71678000-71680000	E7	E6	E4	E5
chr8:71680000-71682000	E7	E6	E4	E5
chr8:71828000-71830000	E7	E4	E2	E1
chr8:71830000-71832000	E7	E4	E2	E1
chr8:71832000-71834000	E7	E4	E2	E1
chr8:71834000-71836000	E7	E4	E2	E1
chr8:71836000-71838000	E7	E4	E2	E1
chr8:71838000-71840000	E5	E4	E2	E1
chr8:71840000-71842000	E5	E4	E2	E1
chr8:71844000-71846000	E4	E6	E2	E1
chr8:71852000-71854000	E4	E6	E2	E1
chr8:71856000-71858000	E4	E6	E2	E1
chr8:79618000-79620000	E6	E7	E4	E1
chr8:83568000-83570000	E7	E4	E5	E6
chr8:83570000-83572000	E7	E4	E5	E6
chr8:83572000-83574000	E7	E4	E5	E6
chr8:83612000-83614000	E7	E6	E5	E4
chr8:83614000-83616000	E7	E6	E5	E4
chr8:84042000-84044000	E5	E7	E6	E4
chr8:84710000-84712000	E6	E4	E5	E7
chr8:84712000-84714000	E6	E4	E5	E7
chr8:84932000-84934000	E7	E6	E5	E4
chr8:85010000-85012000	E7	E6	E5	E4
chr8:85012000-85014000	E7	E6	E5	E4
chr8:85014000-85016000	E7	E6	E5	E4
chr8:94972000-94974000	E7	E6	E4	E1
chr8:94974000-94976000	E5	E6	E4	E1
chr8:94976000-94978000	E5	E7	E4	E1
chr8:95076000-95078000	E6	E4	E5	E7
chr8:95078000-95080000	E6	E4	E5	E7
chr8:95080000-95082000	E6	E4	E5	E7
chr8:95082000-95084000	E6	E4	E5	E7
chr8:95084000-95086000	E6	E4	E5	E7
chr8:95086000-95088000	E6	E4	E5	E7
chr8:95088000-95090000	E6	E4	E5	E7
chr8:104344000-104346000	E5	E3	E4	E7
chr8:105886000-105888000	E6	E1	E5	E7
chr8:105888000-105890000	E6	E1	E5	E7
chr8:106266000-106268000	E4	E3	E7	E1
chr8:106268000-106270000	E4	E3	E7	E1
chr8:117802000-117804000	E6	E4	E5	E7
chr8:117804000-117806000	E6	E4	E5	E7
chr8:117806000-117808000	E6	E4	E5	E7
chr8:119438000-119440000	E4	E6	E5	E7
chr8:119802000-119804000	E7	E6	E4	E5
chr8:119826000-119828000	E4	E5	E6	E7
chr8:120528000-120530000	E4	E6	E5	E7
chr8:120530000-120532000	E4	E6	E5	E7
chr8:122276000-122278000	E6	E7	E4	E5
chr8:122278000-122280000	E6	E7	E4	E5
chr8:122284000-122286000	E4	E6	E5	E7
chr8:122368000-122370000	E6	E7	E5	E4
chr8:122370000-122372000	E6	E7	E5	E4
chr8:123754000-123756000	E4	E6	E5	E7
chr8:123756000-123758000	E4	E6	E5	E7
chr8:123942000-123944000	E4	E6	E5	E7
chr8:124474000-124476000	E5	E7	E4	E6
chr8:124476000-124478000	E4	E7	E5	E6
chr8:124918000-124920000	E7	E4	E5	E6
chr8:124922000-124924000	E7	E4	E5	E6
chr9:3046000-3048000	E1	E4	E2	E6
chr9:3048000-3050000	E1	E4	E2	E6
chr9:3050000-3052000	E1	E4	E2	E6
chr9:3056000-3058000	E1	E4	E2	E6
chr9:3068000-3070000	E1	E6	E2	E4
chr9:3072000-3074000	E1	E6	E2	E4
chr9:3074000-3076000	E1	E6	E2	E4
chr9:20878000-20880000	E1	E7	E6	E4
chr9:21036000-21038000	E6	E4	E5	E7
chr9:31106000-31108000	E7	E1	E4	E6
chr9:32532000-32534000	E7	E5	E4	E6
chr9:32534000-32536000	E7	E5	E4	E6
chr9:32536000-32538000	E7	E5	E4	E6
chr9:32540000-32542000	E5	E7	E4	E6
chr9:35206000-35208000	E4	E5	E7	E6
chr9:41058000-41060000	E4	E6	E5	E7
chr9:41244000-41246000	E6	E1	E7	E4
chr9:44702000-44704000	E5	E6	E4	E7
chr9:44704000-44706000	E5	E6	E4	E7
chr9:44714000-44716000	E6	E7	E5	E4
chr9:55044000-55046000	E5	E4	E7	E6
chr9:56620000-56622000	E4	E6	E7	E5
chr9:57158000-57160000	E7	E1	E5	E6
chr9:58030000-58032000	E6	E4	E7	E1
chr9:58032000-58034000	E6	E4	E7	E1
chr9:58254000-58256000	E7	E4	E5	E6
chr9:61278000-61280000	E7	E1	E4	E6
chr9:61290000-61292000	E5	E1	E6	E7
chr9:61296000-61298000	E6	E1	E4	E7
chr9:61298000-61300000	E6	E1	E4	E7
chr9:61360000-61362000	E7	E1	E4	E6
chr9:61362000-61364000	E7	E1	E4	E6
chr9:61364000-61366000	E7	E1	E5	E4
chr9:66084000-66086000	E6	E4	E7	E1
chr9:66086000-66088000	E6	E4	E7	E1
chr9:66088000-66090000	E6	E4	E7	E1
chr9:66090000-66092000	E6	E4	E7	E1
chr9:66092000-66094000	E6	E4	E7	E1
chr9:71464000-71466000	E1	E6	E7	E4
chr9:75294000-75296000	E7	E5	E6	E4
chr9:79928000-79930000	E1	E7	E6	E4
chr9:106160000-106162000	E6	E1	E5	E7
chr9:106220000-106222000	E7	E1	E4	E6
chr9:107522000-107524000	E7	E4	E5	E6
chr9:107524000-107526000	E7	E4	E5	E6
chr9:107526000-107528000	E7	E4	E5	E6
chr9:107668000-107670000	E7	E5	E4	E6
chr9:107670000-107672000	E7	E4	E5	E6
chr9:107672000-107674000	E7	E4	E5	E6
chr9:107674000-107676000	E7	E4	E5	E6
chr9:108832000-108834000	E6	E4	E5	E7
chr9:108842000-108844000	E7	E6	E4	E5
chr9:108854000-108856000	E7	E6	E5	E4
chr9:108956000-108958000	E7	E1	E6	E4
chr9:109800000-109802000	E1	E7	E6	E4
chr9:110628000-110630000	E5	E4	E7	E6
chr9:110654000-110656000	E7	E4	E5	E6
chr9:113660000-113662000	E7	E1	E6	E4
chr9:114850000-114852000	E4	E6	E7	E5
chr9:114852000-114854000	E4	E6	E7	E5
chr9:121512000-121514000	E1	E4	E7	E6
chr9:121514000-121516000	E1	E4	E7	E6
chr9:121594000-121596000	E1	E4	E6	E7
chr9:121596000-121598000	E1	E6	E4	E7
chr9:123934000-123936000	E6	E4	E2	E1
chr9:123936000-123938000	E6	E4	E2	E1
chrX:12066000-12068000	E4	E6	E5	E7
chrX:31178000-31180000	E6	E2	E7	E1
chrX:31180000-31182000	E6	E2	E7	E1
chrX:31238000-31240000	E2	E1	E7	E4
chrX:31240000-31242000	E2	E1	E7	E3
chrX:42064000-42066000	E3	E4	E5	E7
chrX:42066000-42068000	E3	E4	E5	E7
chrX:42068000-42070000	E3	E4	E5	E7
chrX:58030000-58032000	E5	E3	E4	E7
chrX:73636000-73638000	E7	E5	E4	E6
chrX:73962000-73964000	E4	E6	E5	E7
chrX:73964000-73966000	E4	E6	E5	E7
chrX:137218000-137220000	E4	E3	E7	E1
chrX:169998000-170000000	E4	E1	E2	E5
chrX:170000000-170002000	E4	E1	E2	E7
chrY:90800000-90802000	E6	E1	E2	E7
